nocues;nhog;region;aglo;t_aglo;v108;v109;v111;v202;v238a;v256a
45;1;3;6;1;14;2;10;;;
46;1;7;6;3;25;1;1;1;1;
46;1;7;6;3;25;2;2;;;
46;1;7;6;3;6;2;3;;;
46;1;7;6;3;5;2;3;;;
46;1;7;6;3;1;2;3;;;
47;1;7;6;3;71;2;1;3;3;2
47;1;7;6;3;47;1;3;9;;
47;1;7;6;3;46;1;3;;;
47;1;7;6;3;37;2;3;9;;
48;1;7;6;3;45;1;1;1;2;
48;1;7;6;3;43;2;2;;;
48;1;7;6;3;21;2;3;;;
49;1;7;6;3;70;2;1;1;1;1
50;1;7;6;3;83;1;1;1;1;
51;1;7;6;3;54;2;1;1;3;2
51;1;7;6;3;17;1;3;;;
51;1;7;6;3;96;2;9;;;
51;1;7;6;3;25;2;3;;;
51;1;7;6;3;31;1;5;2;;
51;1;7;6;3;7;2;7;;;
51;1;7;6;3;2;2;7;;;
52;1;7;6;3;66;2;1;;1;1
52;1;7;6;3;23;1;7;2;;
52;1;7;6;3;21;2;7;2;;
53;1;7;6;3;36;1;1;1;1;1
53;1;7;6;3;34;2;2;;;
53;1;7;6;3;17;1;3;;;
53;1;7;6;3;8;2;3;;;
54;1;7;6;3;55;1;1;2;1;1
54;1;7;6;3;46;2;2;2;;
54;1;7;6;3;29;1;3;2;;
54;1;7;6;3;24;1;3;;;
54;1;7;6;3;11;1;3;;;
55;1;7;6;3;47;2;1;1;2;9
55;1;7;6;3;24;2;3;;;
56;1;7;6;3;55;2;1;2;1;1
56;1;7;6;3;22;2;3;;;
57;1;7;6;1;60;1;1;1;1;1
58;1;7;6;1;47;1;1;1;1;1
58;1;7;6;1;49;2;2;2;;
58;1;7;6;1;21;1;3;1;;
58;1;7;6;1;18;1;3;2;;
58;1;7;6;1;17;2;5;2;;
58;1;7;6;1;16;2;3;;;
58;1;7;6;1;15;2;3;;;
59;1;7;6;1;28;1;1;1;2;2
59;1;7;6;1;25;2;2;1;;
59;1;7;6;1;0;1;3;;;
60;1;7;6;1;24;1;1;;1;1
60;1;7;6;1;22;2;2;;;
60;1;7;6;1;60;2;9;;;
61;1;7;6;1;64;1;1;;3;2
61;1;7;6;1;60;2;2;2;;
61;1;7;6;1;27;2;3;;;
61;1;7;6;1;34;1;5;;;
62;1;7;6;1;52;2;1;;2;2
62;1;7;6;1;33;1;3;3;;
62;1;7;6;1;24;2;3;;;
62;1;7;6;1;4;1;7;;;
63;1;7;6;1;32;1;1;1;1;
63;1;7;6;1;33;2;2;;;
63;1;7;6;1;14;2;3;;;
63;1;7;6;1;2;2;3;;;
63;1;7;6;1;70;2;12;;;
64;1;7;6;1;54;1;1;1;2;1
64;1;7;6;1;57;2;2;;;
65;1;7;6;1;57;1;1;;1;1
65;1;7;6;1;49;2;2;;;
65;1;7;6;1;27;2;3;;;
65;1;7;6;1;25;1;3;3;;
65;1;7;6;1;18;2;3;;;
65;1;7;6;1;27;1;5;1;;
65;1;7;6;1;1;2;7;;;
65;1;7;6;1;7;1;7;;;
66;1;7;6;1;53;1;1;1;1;1
66;1;7;6;1;51;2;2;1;;
66;1;7;6;1;20;1;3;;;
66;1;7;6;1;25;2;3;;;
66;1;7;6;1;26;1;5;1;;
66;1;7;6;1;3;2;7;;;
66;1;7;6;1;0;2;7;;;
67;1;7;6;1;56;1;1;1;1;1
67;1;7;6;1;54;2;2;;;
68;1;7;6;1;40;2;1;3;1;1
68;1;7;6;1;90;2;9;3;;
68;1;7;6;1;56;1;2;;;
68;1;7;6;1;11;1;3;;;
68;1;7;6;1;8;1;3;;;
68;1;7;6;1;6;2;3;;;
68;1;7;6;1;5;1;3;;;
69;1;7;6;1;63;1;1;1;1;
69;1;7;6;1;55;2;2;;;
69;1;7;6;1;28;1;3;;;
69;1;7;6;1;27;1;3;;;
69;1;7;6;1;24;1;3;9;;
69;1;7;6;1;16;1;3;;;
70;1;7;6;1;49;1;1;1;2;
70;1;7;6;1;20;2;3;;;
70;1;7;6;1;48;2;2;3;;
70;1;7;6;1;28;2;3;3;;
70;1;7;6;1;21;1;5;;;
71;1;7;6;1;88;2;1;9;1;1
71;1;7;6;1;49;2;3;1;;
71;1;7;6;1;24;2;10;;;
72;1;7;6;1;40;1;1;;1;2
72;1;7;6;1;45;2;2;3;;
72;1;7;6;1;24;1;3;1;;
72;1;7;6;1;21;2;3;3;;
72;1;7;6;1;18;2;3;;;
72;1;7;6;1;2;2;7;;;
73;1;7;6;1;59;1;1;3;1;1
73;1;7;6;1;89;2;9;;;
73;1;7;6;1;21;2;3;;;
73;1;7;6;1;28;1;3;3;;
74;1;7;6;1;32;1;1;;1;
74;1;7;6;1;38;2;2;;;
74;1;7;6;1;11;1;3;;;
74;1;7;6;1;6;1;3;;;
74;1;7;6;1;5;1;3;;;
75;1;7;6;1;44;1;1;1;1;
75;1;7;6;1;35;2;2;;;
75;1;7;6;1;7;1;3;;;
75;1;7;6;1;5;1;3;;;
76;1;7;6;1;38;1;1;3;1;
76;1;7;6;1;37;2;2;3;;
76;1;7;6;1;9;2;3;;;
76;1;7;6;1;12;1;3;;;
77;1;7;6;1;63;1;1;;1;2
77;1;7;6;1;64;2;2;;;
77;1;7;6;1;25;1;7;;;
78;1;7;6;1;54;1;1;1;1;
